sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
194,VS56_182_rep1_S326_R1_001,VS56_182,empirical,VS56_182_rep1_S326_R1_001.fastq.gz,1353568,47078,0.001653426,33.5,3.4780668573725144,55.82804385458742,19.402769763416043
195,VS56_182_rep2_S374_R1_001,VS56_182,empirical,VS56_182_rep2_S374_R1_001.fastq.gz,1337607,49989,0.001830403,33.5,3.737196351394692,69.90767455279861,22.259088286208886
196,VS56_183_rep1_S327_R1_001,VS56_183,empirical,VS56_183_rep1_S327_R1_001.fastq.gz,1501253,41864,0.001732754,33.5,2.7886039195258894,79.5729948066936,20.55683785343335
197,VS56_183_rep2_S375_R1_001,VS56_183,empirical,VS56_183_rep2_S375_R1_001.fastq.gz,1178713,141068,0.001775456,33.5,11.967968453728771,77.79861511829198,45.75879976918638
198,VS56_184_rep2_S376_R1_001,VS56_184,empirical,VS56_184_rep2_S376_R1_001.fastq.gz,1304379,37107,0.001951653,33.5,2.8448020092319797,70.4270051933064,16.24350836699365
199,VS56_184_rep1_S328_R1_001,VS56_184,empirical,VS56_184_rep1_S328_R1_001.fastq.gz,1489447,23363,0.001978342,33.4,1.5685687372561763,62.83900750144259,9.98268897864974
200,VS56_185_rep1_S329_R1_001,VS56_185,empirical,VS56_185_rep1_S329_R1_001.fastq.gz,1420187,59123,0.00173841,33.5,4.163043317534944,84.37680323139065,31.967686093479514
201,VS56_185_rep2_S377_R1_001,VS56_185,empirical,VS56_185_rep2_S377_R1_001.fastq.gz,2116408,63166,0.001617009,33.5,2.984585202853136,70.35487593768033,26.57241777264859
202,VS56_186_rep2_S378_R1_001,VS56_186,empirical,VS56_186_rep2_S378_R1_001.fastq.gz,1381361,73488,0.001816895,33.5,5.319970666610684,83.39584535487595,33.52567801500289
203,VS56_186_rep1_S330_R1_001,VS56_186,empirical,VS56_186_rep1_S330_R1_001.fastq.gz,1453055,51543,0.001999496,33.4,3.54721603793387,65.47893825735719,22.634160415464514
204,VS56_187_rep1_S331_R1_001,VS56_187,empirical,VS56_187_rep1_S331_R1_001.fastq.gz,1376462,61558,0.001760941,33.5,4.472190296571936,49.79803808424697,13.949798038084246
205,VS56_187_rep2_S379_R1_001,VS56_187,empirical,VS56_187_rep2_S379_R1_001.fastq.gz,1375667,21556,0.001906662,33.5,1.5669489782047545,59.463358338141944,8.626658972879401
206,VS56_188_rep2_S380_R1_001,VS56_188,empirical,VS56_188_rep2_S380_R1_001.fastq.gz,1478765,206053,0.001839333,33.5,13.934127464472043,97.7062896710906,71.22042700519332
